,0,1
0,1222362973,4
1,1222356954,4
2,1222288938,4
3,1225491995,4
4,1219705188,4
5,1222501202,4
6,1219341526,4
7,1224121496,4
8,1225472898,4
9,1222362258,3
10,1225355976,4
11,1225278535,4
12,sjslayto,4
13,1222324233,4
14, 1225371667,4
15,1225292562,4
16,{1222402896},4
17,1220103170,3
18,1225085173,4
19,1225230903,4
20,1225589664,4
21,1222358410,4
22,1223133054,4
23,sarchana,4
24,1222074074,3
25,1222324415,4
26,1222394875,4
27,1222368576,4
28,1225406468,4
29,1214914948,4
30,1225473080,4
31,1225476629,4
32,1222221013,4
33,1225741634,4
34,1222715130,4
35,1225685877,4
36,1225473470,4
37,{1221375844},4
38,1224617420,3
39,1216812272,4
40,1212807698,4
41,1222317694,4
42,1222661414,4
43,1224063958,4
44,1225435380,4
45,1214621733,4
46,1225038347,4
47,1225539835,4
48,aarya9,4
49,1225461367,4
50,1221947844,4
51,1219585913,4
52,1222905957,3
53,1225792466,4
54,1225642548,4
55,1225319394,4
56,1225484715,4
57,1222282789,4
58,1217462649,4
59,1220936444,4
60,1218577282,4
61,{1225696667},3
62,1220326302,4
63,1225464851,4
64,1225279939,4
65,1222276536,4
66,1219489817,4
67,1225492151,4
68,1222577863,4
69,1226315027,4
70,1225655171,4
71,1225356405,4
72,1225420911,4
73,1225423290,4
74,1225476798,4
75,1225435679,4
76,1214454098,4
77,1222307268,4
78,1225468127,4
79,1225441698,4
80,1221948923,4
81,1225646344,4
82,1225373760,4
83,1215793917,4
84,1222627419,3
85,1220374285,4
86,1225497858,4
87,1225578796 (2),4
88,1222241917,4
89,1225636451,4
90,1222246805,4
91,1222246805,4
92,1222358371,4
93,{122576673},3
94,1225407716,4
95,1213399809,4
96,1222490139,4
97,weiweigu,4
98,1217396128,4
99,1219494900,4
100,1217304075,4
101,1219960443,4
102,1214438433,4
103,1223869660,4
